key,표류체_유형,leeway_rate,rate_min,rate_max,sigma,divergence_deg,jibe_prob_per_hr,출처
소형어선,소형 어선 (5톤 미만),0.032,0.03,0.035,0.004,30,0.04,IAMSAR Vol.III Table K-1
표준어선,표준 어선 (5-20톤),0.025,0.02,0.03,0.005,30,0.04,IAMSAR Vol.III Table K-1
중형어선,"중형 상업 어선 (15m급, 20톤 초과)",0.04,0.035,0.045,0.005,30,0.04,USCG CG-D-21-96 실측 (4.0% of W10)
구명조끼착용자,"구명조끼 착용자 (PIW, Type-I PFD)",0.015,0.01,0.02,0.005,30,0.04,USCG CG-D-08-99
생존슈트착용자,생존슈트 착용자 (PIW),0.027,0.024,0.03,0.005,30,0.04,"Su, Robe & Finlayson 1998 실측 (2.7% of W10)"
구명뗏목_드로그무,구명뗏목 (드로그 없음),0.038,0.035,0.04,0.005,20,0.04,Allen & Plourde 1999 (10인용 최대 발산 20.5도)
구명뗏목_드로그유,구명뗏목 (드로그 있음),0.025,0.02,0.03,0.004,12,0.04,Allen & Plourde 1999 (6인용 최대 발산 11.3도)
레저보트,레저용 보트 (모터보트·고무보트·요트),0.045,0.04,0.05,0.006,30,0.04,USCG CG-D-08-99
